2007-01-25,09:01:41,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:01:41,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:45,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:01:46,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:48,PL0GPWF05785,FW20H7,34710,1
2007-01-25,09:01:49,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:50,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:01:53,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:55,PL0GPWF05785,FW20H7,34700,9
2007-01-25,09:01:55,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:58,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:01:58,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:02:03,PL0GPWF05785,FW20H7,34700,8
2007-01-25,09:02:03,PL0GPWF05785,FW20H7,34700,20
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34690,4
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34700,20
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:04,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:04,PL0GPWF06122,FTPSU7,12550,2
2007-01-25,09:02:06,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:02:06,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:02:07,PL0GPWF05769,FTPSH7,12910,1
2007-01-25,09:02:07,PL0GPWF05769,FTPSH7,12905,1
2007-01-25,09:02:07,PL0GPWF05785,FW20H7,34670,1
2007-01-25,09:02:07,PL0GPWF05785,FW20H7,34670,1
2007-01-25,09:02:07,PL0GPWF05785,FW20H7,34670,1
2007-01-25,09:02:08,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:02:08,PL0GPWF05785,FW20H7,34690,20
2007-01-25,09:02:10,PL0GPWF05785,FW20H7,34670,4
2007-01-25,09:02:13,PL0GPWF05744,FPKNH7,24495,1
